'EPIC N.MF.MV Log File

'Date,N.MF.MV
08/06/2023 12:28:16.302,2.00E-04
08/06/2023 12:28:18.302,2.00E-04
08/06/2023 12:28:25.301,0.0
08/06/2023 12:28:27.302,0.0
08/06/2023 12:28:28.308,-2.00E-04
08/06/2023 12:28:29.322,-2.00E-04
08/06/2023 12:28:32.382,1.00E-04
08/06/2023 12:28:34.398,1.00E-04
08/06/2023 12:28:45.402,3.00E-04
08/06/2023 12:28:47.402,3.00E-04
08/06/2023 12:28:49.401,2.00E-04
08/06/2023 12:28:50.398,2.00E-04
08/06/2023 12:28:51.401,0.0
08/06/2023 12:28:52.404,0.0
08/06/2023 12:28:53.421,0.0
08/06/2023 12:28:55.421,3.00E-04
08/06/2023 12:28:56.419,3.00E-04
08/06/2023 12:29:01.418,2.00E-04
08/06/2023 12:29:02.421,2.00E-04
08/06/2023 12:29:07.475,3.00E-04
08/06/2023 12:29:08.482,3.00E-04
08/06/2023 12:29:10.498,2.00E-04
08/06/2023 12:29:11.501,2.00E-04
08/06/2023 12:29:27.601,0.0
08/06/2023 12:29:29.601,0.0
08/06/2023 12:29:30.598,-4.00E-04
08/06/2023 12:29:31.610,-4.00E-04
08/06/2023 12:29:34.623,0.0
08/06/2023 12:29:35.642,0.0
08/06/2023 12:29:37.642,-1.00E-04
08/06/2023 12:29:38.664,-1.00E-04
08/06/2023 12:29:42.701,4.00E-04
08/06/2023 12:29:44.721,4.00E-04
08/06/2023 12:29:45.729,5.00E-04
08/06/2023 12:29:46.741,5.00E-04
08/06/2023 12:29:48.741,0.0
08/06/2023 12:29:49.743,0.0
08/06/2023 12:29:50.761,0.0
08/06/2023 12:29:52.761,2.00E-04
08/06/2023 12:29:53.758,2.00E-04
08/06/2023 12:30:01.781,0.0
08/06/2023 12:30:02.783,0.0
08/06/2023 12:30:03.801,0.0
08/06/2023 12:30:05.801,-3.00E-04
08/06/2023 12:30:06.797,-3.00E-04
08/06/2023 12:30:11.798,2.00E-04
08/06/2023 12:30:13.823,2.00E-04
08/06/2023 12:30:14.841,0.0
08/06/2023 12:30:16.841,0.0
08/06/2023 12:30:18.841,0.0
08/06/2023 12:30:19.846,0.0
08/06/2023 12:30:20.860,0.0
08/06/2023 12:30:22.861,-2.00E-04
08/06/2023 12:30:24.858,-2.00E-04
08/06/2023 12:30:25.863,3.00E-04
08/06/2023 12:30:27.878,3.00E-04
08/06/2023 12:30:32.921,0.0
08/06/2023 12:30:34.921,0.0
08/06/2023 12:30:35.919,-2.00E-04
08/06/2023 12:30:36.920,-2.00E-04
08/06/2023 12:30:42.918,1.00E-04
08/06/2023 12:30:44.941,1.00E-04
08/06/2023 12:30:45.942,2.00E-04
08/06/2023 12:30:46.962,2.00E-04
08/06/2023 12:30:55.958,0.0
08/06/2023 12:30:56.961,0.0
08/06/2023 12:30:58.961,0.0
08/06/2023 12:30:59.959,-3.00E-04
08/06/2023 12:31:00.961,-3.00E-04
08/06/2023 12:31:02.961,3.00E-04
08/06/2023 12:31:04.963,3.00E-04
08/06/2023 12:31:10.004,0.0
08/06/2023 12:31:11.023,0.0
08/06/2023 12:31:12.059,0.0
08/06/2023 12:31:13.072,2.00E-04
08/06/2023 12:31:14.089,2.00E-04
08/06/2023 12:31:16.097,0.0
08/06/2023 12:31:17.100,0.0
08/06/2023 12:31:19.108,-1.00E-04
08/06/2023 12:31:20.121,-1.00E-04
08/06/2023 12:31:22.121,1.00E-04
08/06/2023 12:31:24.122,1.00E-04
08/06/2023 12:31:26.163,1.00E-04
08/06/2023 12:31:28.177,1.00E-04
08/06/2023 12:31:30.200,1.00E-04
08/06/2023 12:31:32.218,0.0
08/06/2023 12:31:33.221,0.0
08/06/2023 12:31:35.222,0.0
08/06/2023 12:31:36.232,4.00E-04
08/06/2023 12:31:37.241,4.00E-04
08/06/2023 12:31:49.331,0.0
08/06/2023 12:31:50.332,0.0
08/06/2023 12:31:51.350,0.0
08/06/2023 12:31:52.352,0.0
08/06/2023 12:31:53.371,0.0
08/06/2023 12:31:54.377,-4.00E-04
08/06/2023 12:31:55.391,-4.00E-04
08/06/2023 12:32:01.471,3.00E-04
08/06/2023 12:32:03.471,3.00E-04
08/06/2023 12:32:05.472,2.00E-04
08/06/2023 12:32:07.488,2.00E-04
08/06/2023 12:32:08.492,1.00E-04
08/06/2023 12:32:09.487,1.00E-04
08/06/2023 12:32:12.491,0.0
08/06/2023 12:32:14.491,0.0
08/06/2023 12:32:16.491,-4.00E-04
08/06/2023 12:32:17.489,-4.00E-04
08/06/2023 12:32:32.571,4.00E-04
08/06/2023 12:32:34.571,4.00E-04
08/06/2023 12:32:46.632,1.00E-04
08/06/2023 12:32:48.648,1.00E-04
08/06/2023 12:33:03.732,2.00E-04
08/06/2023 12:33:05.748,2.00E-04
08/06/2023 12:33:13.774,1.00E-04
08/06/2023 12:33:15.811,1.00E-04
08/06/2023 12:33:20.808,2.00E-04
08/06/2023 12:33:22.831,2.00E-04
08/06/2023 12:33:33.867,2.00E-04
08/06/2023 12:33:35.876,2.00E-04
08/06/2023 12:33:40.907,0.0
08/06/2023 12:33:41.911,0.0
08/06/2023 12:33:43.910,-1.00E-04
08/06/2023 12:33:44.912,-1.00E-04
08/06/2023 12:33:46.911,5.00E-04
08/06/2023 12:33:48.916,5.00E-04
08/06/2023 12:33:49.937,2.00E-04
08/06/2023 12:33:50.952,2.00E-04
08/06/2023 12:33:52.967,3.00E-04
08/06/2023 12:33:53.971,3.00E-04
08/06/2023 12:34:03.015,0.0
08/06/2023 12:34:04.032,0.0
08/06/2023 12:34:05.051,0.0
08/06/2023 12:34:07.052,0.0
08/06/2023 12:34:08.074,0.0
08/06/2023 12:34:09.100,4.00E-04
08/06/2023 12:34:10.114,4.00E-04
08/06/2023 12:34:19.167,2.00E-04
08/06/2023 12:34:20.170,2.00E-04
08/06/2023 12:34:26.170,0.0
08/06/2023 12:34:27.171,0.0
08/06/2023 12:34:29.170,1.00E-04
08/06/2023 12:34:30.179,1.00E-04
08/06/2023 12:35:06.431,0.0
08/06/2023 12:35:08.431,0.0
