'EPIC GC Atmion.PG.MV Log File

'Date,GC Atmion.PG.MV
08/06/2023 00:03:11.911,7.50E-09
08/06/2023 00:03:12.928,7.60E-09
08/06/2023 00:03:13.941,7.60E-09
08/06/2023 00:03:14.953,7.60E-09
08/06/2023 00:03:15.974,7.70E-09
08/06/2023 00:03:16.987,7.70E-09
08/06/2023 00:03:18.008,7.70E-09
08/06/2023 00:03:19.025,7.70E-09
08/06/2023 00:03:20.048,7.80E-09
08/06/2023 00:03:21.071,7.80E-09
08/06/2023 00:03:22.085,7.80E-09
08/06/2023 00:03:23.095,7.80E-09
08/06/2023 00:03:24.118,7.80E-09
08/06/2023 00:03:25.129,7.90E-09
08/06/2023 00:03:26.149,7.90E-09
08/06/2023 00:03:27.158,7.90E-09
08/06/2023 00:03:28.178,8.00E-09
08/06/2023 00:03:29.192,8.00E-09
08/06/2023 00:03:30.213,8.00E-09
08/06/2023 00:03:31.225,8.00E-09
08/06/2023 00:03:32.248,8.00E-09
08/06/2023 00:03:33.269,8.10E-09
08/06/2023 00:03:34.281,8.20E-09
08/06/2023 00:03:35.293,8.20E-09
08/06/2023 00:03:36.308,8.20E-09
08/06/2023 00:03:37.322,8.20E-09
08/06/2023 00:03:38.345,8.20E-09
08/06/2023 00:03:39.359,8.20E-09
08/06/2023 00:03:40.389,8.20E-09
08/06/2023 00:03:41.404,8.30E-09
08/06/2023 00:03:42.435,8.30E-09
08/06/2023 00:03:43.460,8.40E-09
08/06/2023 00:03:44.475,8.40E-09
08/06/2023 00:03:45.500,8.50E-09
08/06/2023 00:03:46.522,8.50E-09
08/06/2023 00:03:47.548,8.50E-09
08/06/2023 00:03:48.560,8.50E-09
08/06/2023 00:03:49.585,8.60E-09
08/06/2023 00:03:50.596,8.60E-09
08/06/2023 00:03:51.622,8.60E-09
08/06/2023 00:03:52.646,8.60E-09
08/06/2023 00:03:53.667,8.70E-09
08/06/2023 00:03:54.690,8.80E-09
08/06/2023 00:03:55.713,8.80E-09
08/06/2023 00:03:56.722,8.80E-09
08/06/2023 00:03:57.733,8.90E-09
08/06/2023 00:03:58.742,8.90E-09
08/06/2023 00:03:59.751,8.90E-09
08/06/2023 00:04:00.775,9.00E-09
08/06/2023 00:04:01.794,9.00E-09
08/06/2023 00:04:02.807,9.00E-09
08/06/2023 00:04:03.827,9.00E-09
08/06/2023 00:04:04.850,9.10E-09
08/06/2023 00:04:05.873,9.10E-09
08/06/2023 00:04:06.883,9.10E-09
08/06/2023 00:04:07.907,9.10E-09
08/06/2023 00:04:08.915,9.10E-09
08/06/2023 00:04:09.937,9.30E-09
08/06/2023 00:04:10.946,9.40E-09
08/06/2023 00:04:11.967,9.40E-09
08/06/2023 00:04:12.979,9.40E-09
08/06/2023 00:04:13.988,9.40E-09
08/06/2023 00:04:14.998,9.40E-09
08/06/2023 00:04:16.006,9.40E-09
08/06/2023 00:04:17.014,9.40E-09
08/06/2023 00:04:18.038,9.40E-09
08/06/2023 00:04:19.046,9.40E-09
08/06/2023 00:04:20.070,9.70E-09
08/06/2023 00:04:21.084,9.80E-09
08/06/2023 00:04:22.107,9.80E-09
08/06/2023 00:04:23.123,9.80E-09
08/06/2023 00:04:24.146,9.90E-09
08/06/2023 00:04:25.180,1.00E-08
