'EPIC O.MF.MV Log File

'Date,O.MF.MV
08/06/2023 07:20:00.755,4.36E-02
08/06/2023 07:20:01.767,4.36E-02
08/06/2023 07:20:13.958,5.00E-02
08/06/2023 07:20:14.973,5.00E-02
08/06/2023 07:24:46.395,5.56E-02
08/06/2023 07:24:47.403,5.56E-02
08/06/2023 07:25:43.325,5.04E-02
08/06/2023 07:25:44.335,5.04E-02
08/06/2023 07:28:24.879,5.72E-02
08/06/2023 07:28:25.887,5.72E-02
08/06/2023 07:29:41.071,5.20E-02
08/06/2023 07:29:42.089,5.20E-02
08/06/2023 07:58:46.669,4.64E-02
08/06/2023 07:58:47.690,4.64E-02
08/06/2023 08:14:18.723,5.16E-02
08/06/2023 08:14:19.733,5.16E-02
08/06/2023 08:15:07.531,4.60E-02
08/06/2023 08:15:08.553,4.60E-02
08/06/2023 08:22:02.490,5.12E-02
08/06/2023 08:22:03.501,5.12E-02
08/06/2023 08:49:26.061,4.60E-02
08/06/2023 08:49:27.079,4.60E-02
08/06/2023 08:49:39.264,5.12E-02
08/06/2023 08:49:40.284,5.12E-02
08/06/2023 08:52:28.499,4.60E-02
08/06/2023 08:52:29.509,4.60E-02
08/06/2023 08:52:52.773,5.12E-02
08/06/2023 08:52:53.793,5.12E-02
08/06/2023 09:14:12.116,4.60E-02
08/06/2023 09:14:13.128,4.60E-02
08/06/2023 09:15:36.607,5.12E-02
08/06/2023 09:15:37.630,5.12E-02
08/06/2023 09:15:55.951,5.64E-02
08/06/2023 09:15:56.969,5.64E-02
08/06/2023 09:16:15.304,5.00E-02
08/06/2023 09:16:16.329,5.00E-02
08/06/2023 09:16:52.905,5.52E-02
08/06/2023 09:16:53.917,5.52E-02
08/06/2023 09:17:19.349,4.96E-02
08/06/2023 09:17:20.344,4.96E-02
08/06/2023 09:18:24.650,5.52E-02
08/06/2023 09:18:25.645,5.52E-02
08/06/2023 09:20:24.127,4.92E-02
08/06/2023 09:20:25.131,4.92E-02
08/06/2023 09:31:56.641,5.44E-02
08/06/2023 09:31:57.635,5.44E-02
08/06/2023 09:32:20.801,4.88E-02
08/06/2023 09:32:21.796,4.88E-02
08/06/2023 09:41:18.241,5.44E-02
08/06/2023 09:41:19.236,5.44E-02
08/06/2023 09:41:45.340,4.88E-02
08/06/2023 09:41:46.335,4.88E-02
08/06/2023 09:45:23.976,5.40E-02
08/06/2023 09:45:24.980,5.40E-02
08/06/2023 09:45:51.005,4.84E-02
08/06/2023 09:45:52.012,4.84E-02
08/06/2023 09:49:01.396,5.40E-02
08/06/2023 09:49:02.401,5.40E-02
08/06/2023 09:55:42.821,4.88E-02
08/06/2023 09:55:43.817,4.88E-02
08/06/2023 09:56:07.896,5.52E-02
08/06/2023 09:56:08.901,5.52E-02
08/06/2023 09:56:47.051,4.96E-02
08/06/2023 09:56:48.046,4.96E-02
08/06/2023 09:57:38.310,5.60E-02
08/06/2023 09:57:39.306,5.60E-02
08/06/2023 09:58:08.481,5.04E-02
08/06/2023 09:58:09.502,5.04E-02
08/06/2023 09:59:23.960,5.64E-02
08/06/2023 09:59:24.956,5.64E-02
08/06/2023 09:59:50.022,5.12E-02
08/06/2023 09:59:51.040,5.12E-02
08/06/2023 10:03:24.642,4.60E-02
08/06/2023 10:03:25.660,4.60E-02
08/06/2023 10:04:23.776,5.12E-02
08/06/2023 10:04:24.781,5.12E-02
08/06/2023 10:04:40.859,4.60E-02
08/06/2023 10:04:41.856,4.60E-02
08/06/2023 10:07:06.188,5.16E-02
08/06/2023 10:07:07.185,5.16E-02
08/06/2023 10:11:09.857,4.64E-02
08/06/2023 10:11:10.870,4.64E-02
08/06/2023 10:11:49.051,5.16E-02
08/06/2023 10:11:50.052,5.16E-02
08/06/2023 10:27:28.381,4.64E-02
08/06/2023 10:27:29.388,4.64E-02
08/06/2023 10:28:08.537,5.20E-02
08/06/2023 10:28:09.548,5.20E-02
08/06/2023 10:34:17.274,4.64E-02
08/06/2023 10:34:18.280,4.64E-02
08/06/2023 10:35:03.419,5.16E-02
08/06/2023 10:35:04.414,5.16E-02
08/06/2023 10:50:32.448,4.64E-02
08/06/2023 10:50:33.444,4.64E-02
08/06/2023 10:50:45.548,5.20E-02
08/06/2023 10:50:46.544,5.20E-02
08/06/2023 10:54:14.087,4.68E-02
08/06/2023 10:54:15.083,4.68E-02
08/06/2023 10:56:09.308,5.24E-02
08/06/2023 10:56:10.304,5.24E-02
