'EPIC LL IG.PG.MV Log File

'Date,LL IG.PG.MV
08/06/2023 10:31:52.621,7.30E-09
08/06/2023 10:31:53.647,7.30E-09
08/06/2023 10:31:54.658,7.30E-09
08/06/2023 10:31:56.659,7.30E-09
08/06/2023 10:31:57.678,7.30E-09
08/06/2023 10:31:58.687,7.30E-09
08/06/2023 10:32:00.688,7.30E-09
08/06/2023 10:32:02.688,7.30E-09
08/06/2023 10:32:04.688,7.30E-09
08/06/2023 10:32:05.689,7.30E-09
08/06/2023 10:32:07.688,7.30E-09
08/06/2023 10:32:09.688,7.30E-09
08/06/2023 10:32:11.688,7.30E-09
08/06/2023 10:32:13.688,7.30E-09
08/06/2023 10:32:15.688,7.30E-09
08/06/2023 10:32:17.687,7.30E-09
08/06/2023 10:32:19.688,7.30E-09
08/06/2023 10:32:20.690,7.30E-09
08/06/2023 10:32:21.711,7.30E-09
08/06/2023 10:32:22.728,7.30E-09
08/06/2023 10:32:24.738,7.30E-09
08/06/2023 10:32:26.738,7.30E-09
08/06/2023 10:32:28.738,7.30E-09
08/06/2023 10:32:30.738,7.30E-09
08/06/2023 10:32:32.748,7.30E-09
08/06/2023 10:32:33.759,7.30E-09
08/06/2023 10:32:35.758,7.30E-09
08/06/2023 10:32:36.765,7.30E-09
08/06/2023 10:32:37.768,7.30E-09
08/06/2023 10:32:38.778,7.30E-09
08/06/2023 10:32:40.778,7.30E-09
08/06/2023 10:32:42.788,7.30E-09
08/06/2023 10:32:44.789,7.30E-09
08/06/2023 10:32:46.788,7.30E-09
08/06/2023 10:32:48.788,7.30E-09
08/06/2023 10:32:50.790,7.30E-09
08/06/2023 10:32:51.799,7.30E-09
08/06/2023 10:32:53.798,7.30E-09
08/06/2023 10:32:55.798,7.30E-09
08/06/2023 10:32:57.799,7.30E-09
08/06/2023 10:32:59.798,7.30E-09
08/06/2023 10:33:00.820,7.30E-09
08/06/2023 10:33:01.841,7.30E-09
08/06/2023 10:33:02.858,7.30E-09
08/06/2023 10:33:04.858,7.30E-09
08/06/2023 10:33:06.857,7.30E-09
08/06/2023 10:33:08.857,7.30E-09
08/06/2023 10:33:09.858,7.30E-09
08/06/2023 10:33:10.870,7.30E-09
08/06/2023 10:33:11.888,7.30E-09
08/06/2023 10:33:12.898,7.30E-09
08/06/2023 10:33:13.908,7.30E-09
08/06/2023 10:33:15.908,7.30E-09
08/06/2023 10:33:17.919,7.30E-09
08/06/2023 10:33:19.918,7.30E-09
08/06/2023 10:33:20.919,7.30E-09
08/06/2023 10:33:22.918,7.30E-09
08/06/2023 10:33:24.918,7.30E-09
08/06/2023 10:33:25.928,7.30E-09
08/06/2023 10:33:27.938,7.30E-09
08/06/2023 10:33:28.948,7.30E-09
08/06/2023 10:33:30.958,7.30E-09
08/06/2023 10:33:31.968,7.30E-09
08/06/2023 10:33:33.971,7.30E-09
08/06/2023 10:33:34.996,7.30E-09
08/06/2023 10:33:36.004,7.30E-09
08/06/2023 10:33:37.018,7.30E-09
08/06/2023 10:33:39.039,7.30E-09
08/06/2023 10:33:41.049,7.30E-09
08/06/2023 10:33:42.068,7.30E-09
08/06/2023 10:33:43.069,7.30E-09
08/06/2023 10:33:44.078,7.30E-09
08/06/2023 10:33:46.088,7.30E-09
08/06/2023 10:33:47.100,7.30E-09
08/06/2023 10:33:48.120,7.30E-09
08/06/2023 10:33:49.138,7.30E-09
08/06/2023 10:33:51.138,7.30E-09
08/06/2023 10:33:53.148,7.30E-09
08/06/2023 10:33:55.148,7.30E-09
08/06/2023 10:33:56.158,7.30E-09
08/06/2023 10:33:58.168,7.30E-09
08/06/2023 10:34:00.179,7.30E-09
08/06/2023 10:34:02.178,7.30E-09
08/06/2023 10:34:04.183,7.30E-09
08/06/2023 10:34:05.198,7.30E-09
08/06/2023 10:34:07.208,7.30E-09
08/06/2023 10:34:08.218,7.30E-09
08/06/2023 10:34:09.228,7.30E-09
08/06/2023 10:34:10.248,7.30E-09
08/06/2023 10:34:12.248,7.30E-09
08/06/2023 10:34:14.258,7.30E-09
08/06/2023 10:34:15.268,7.30E-09
08/06/2023 10:34:16.278,7.30E-09
08/06/2023 10:34:18.280,7.30E-09
08/06/2023 10:34:19.290,7.30E-09
08/06/2023 10:34:20.298,7.30E-09
08/06/2023 10:34:22.298,7.30E-09
08/06/2023 10:34:24.298,7.30E-09
08/06/2023 10:34:26.298,7.30E-09
08/06/2023 10:34:28.299,7.30E-09
08/06/2023 10:34:30.298,7.30E-09
08/06/2023 10:34:32.298,7.30E-09
08/06/2023 10:34:34.299,7.30E-09
08/06/2023 10:34:36.302,7.30E-09
08/06/2023 10:34:37.311,7.30E-09
08/06/2023 10:34:38.329,7.30E-09
08/06/2023 10:34:40.328,7.30E-09
08/06/2023 10:34:42.328,7.30E-09
08/06/2023 10:34:44.328,7.30E-09
08/06/2023 10:34:45.332,7.30E-09
