'EPIC O.Forward.MV Log File

'Date,O.Forward.MV
08/06/2023 12:36:53.112,307.5
08/06/2023 12:36:55.132,306.9
08/06/2023 12:36:57.132,306.2
08/06/2023 12:36:58.139,307.5
08/06/2023 12:36:59.151,306.9
08/06/2023 12:37:01.151,305.6
08/06/2023 12:37:02.154,306.9
08/06/2023 12:37:03.174,306.9
08/06/2023 12:37:07.211,305.0
08/06/2023 12:37:08.220,306.2
08/06/2023 12:37:09.232,306.9
08/06/2023 12:37:10.253,305.6
08/06/2023 12:37:11.271,307.5
08/06/2023 12:37:13.271,305.6
08/06/2023 12:37:14.268,306.2
08/06/2023 12:37:16.268,306.9
08/06/2023 12:37:17.272,306.2
08/06/2023 12:37:22.275,305.6
08/06/2023 12:37:23.292,306.9
08/06/2023 12:37:24.316,306.2
08/06/2023 12:37:26.332,308.1
08/06/2023 12:37:28.332,306.2
08/06/2023 12:37:29.351,306.2
08/06/2023 12:37:33.390,307.5
08/06/2023 12:37:34.387,307.5
08/06/2023 12:37:35.389,306.2
08/06/2023 12:37:36.391,307.5
08/06/2023 12:37:38.391,306.2
08/06/2023 12:37:39.387,306.9
08/06/2023 12:37:47.393,308.7
08/06/2023 12:37:48.414,305.0
08/06/2023 12:37:49.431,306.9
08/06/2023 12:37:50.433,309.4
08/06/2023 12:37:51.451,308.1
08/06/2023 12:37:53.451,308.7
08/06/2023 12:37:56.471,305.6
08/06/2023 12:37:58.470,307.5
08/06/2023 12:37:59.471,306.9
08/06/2023 12:38:02.468,306.2
08/06/2023 12:38:03.471,305.6
08/06/2023 12:38:05.495,305.0
08/06/2023 12:38:06.513,306.2
08/06/2023 12:38:07.531,305.6
08/06/2023 12:38:09.532,307.5
08/06/2023 12:38:11.533,306.2
08/06/2023 12:38:12.552,305.6
08/06/2023 12:38:15.547,305.0
08/06/2023 12:38:16.551,305.6
08/06/2023 12:38:18.547,303.7
08/06/2023 12:38:19.551,305.6
08/06/2023 12:38:21.555,306.9
08/06/2023 12:38:22.575,305.0
08/06/2023 12:38:23.592,306.2
08/06/2023 12:38:24.611,306.2
08/06/2023 12:38:28.648,307.5
08/06/2023 12:38:29.652,306.9
08/06/2023 12:38:30.672,305.6
08/06/2023 12:38:31.668,305.6
08/06/2023 12:38:34.691,306.9
08/06/2023 12:38:36.691,306.2
08/06/2023 12:38:39.712,305.6
08/06/2023 12:38:40.707,305.6
08/06/2023 12:38:41.711,306.9
08/06/2023 12:38:42.707,307.5
08/06/2023 12:38:47.716,305.0
08/06/2023 12:38:48.741,306.2
08/06/2023 12:38:49.752,305.0
08/06/2023 12:38:51.751,308.1
08/06/2023 12:38:52.747,308.1
08/06/2023 12:38:53.751,305.0
08/06/2023 12:38:55.751,306.2
08/06/2023 12:38:56.752,305.6
08/06/2023 12:38:57.770,304.4
08/06/2023 12:38:58.775,305.6
08/06/2023 12:38:59.790,305.0
08/06/2023 12:39:01.791,306.9
08/06/2023 12:39:02.788,307.5
08/06/2023 12:39:10.832,308.1
08/06/2023 12:39:12.833,308.1
