'EPIC MIG.PG.GS Log File

'Date,MIG.PG.GS
08/06/2023 00:04:39.413,19.00
08/06/2023 00:04:40.430,19.00
08/06/2023 00:04:41.454,19.00
08/06/2023 00:04:42.476,19.00
08/06/2023 00:04:43.497,19.00
08/06/2023 00:04:44.521,19.00
08/06/2023 00:04:45.530,19.00
08/06/2023 00:04:46.542,19.00
08/06/2023 00:04:47.571,19.00
08/06/2023 00:04:48.589,19.00
08/06/2023 00:04:49.602,19.00
08/06/2023 00:04:50.620,19.00
08/06/2023 00:04:51.638,19.00
08/06/2023 00:04:52.667,19.00
08/06/2023 00:04:53.678,19.00
08/06/2023 00:04:54.696,19.00
08/06/2023 00:04:55.706,19.00
08/06/2023 00:04:56.730,19.00
08/06/2023 00:04:57.752,19.00
08/06/2023 00:04:58.762,19.00
08/06/2023 00:04:59.777,19.00
08/06/2023 00:05:00.789,19.00
08/06/2023 00:05:01.815,19.00
08/06/2023 00:05:02.839,19.00
08/06/2023 00:05:03.861,19.00
08/06/2023 00:05:04.873,19.00
08/06/2023 00:05:05.885,19.00
08/06/2023 00:05:06.909,19.00
08/06/2023 00:05:07.921,19.00
08/06/2023 00:05:08.940,19.00
08/06/2023 00:05:09.962,19.00
08/06/2023 00:05:10.989,19.00
08/06/2023 00:05:12.011,19.00
08/06/2023 00:05:13.020,19.00
08/06/2023 00:05:14.030,19.00
08/06/2023 00:05:15.054,19.00
08/06/2023 00:05:16.079,19.00
08/06/2023 00:05:17.088,19.00
08/06/2023 00:05:18.112,19.00
08/06/2023 00:05:19.122,19.00
08/06/2023 00:05:20.141,19.00
08/06/2023 00:05:21.154,19.00
08/06/2023 00:05:22.170,19.00
08/06/2023 00:05:23.184,19.00
08/06/2023 00:05:24.201,19.00
08/06/2023 00:05:25.223,19.00
08/06/2023 00:05:26.247,19.00
08/06/2023 00:05:27.268,19.00
08/06/2023 00:05:28.281,19.00
08/06/2023 00:05:29.293,19.00
08/06/2023 00:05:30.304,19.00
08/06/2023 00:05:31.319,19.00
08/06/2023 00:05:32.333,19.00
08/06/2023 00:05:33.355,19.00
08/06/2023 00:05:34.388,19.00
08/06/2023 00:05:35.400,19.00
08/06/2023 00:05:36.415,19.00
08/06/2023 00:05:37.434,19.00
08/06/2023 00:05:38.446,19.00
08/06/2023 00:05:39.459,19.00
08/06/2023 00:05:40.467,19.00
08/06/2023 00:05:41.480,19.00
08/06/2023 00:05:42.521,19.00
08/06/2023 00:05:43.530,19.00
08/06/2023 00:05:44.555,19.00
08/06/2023 00:05:45.565,19.00
08/06/2023 00:05:46.590,19.00
08/06/2023 00:05:47.613,19.00
08/06/2023 00:05:48.623,19.00
08/06/2023 00:05:49.641,19.00
08/06/2023 00:05:50.652,19.00
08/06/2023 00:05:51.671,19.00
08/06/2023 00:05:52.680,19.00
08/06/2023 00:05:53.689,19.00
08/06/2023 00:05:54.700,19.00
08/06/2023 00:05:55.725,19.00
08/06/2023 00:05:56.752,19.00
