'EPIC O.Light.MV Log File

'Date,O.Light.MV
08/06/2023 05:51:23.723,0.1147
08/06/2023 05:51:33.866,0.1199
08/06/2023 05:51:34.877,0.1147
08/06/2023 05:51:45.042,0.1095
08/06/2023 05:51:47.069,0.1147
08/06/2023 05:52:03.288,0.1199
08/06/2023 05:52:06.322,0.1147
08/06/2023 05:52:18.506,0.1095
08/06/2023 05:52:19.516,0.1147
08/06/2023 05:52:38.771,0.1199
08/06/2023 05:52:40.801,0.1147
08/06/2023 05:52:51.907,0.1043
08/06/2023 05:52:58.992,0.1095
08/06/2023 05:53:09.127,0.1147
08/06/2023 05:53:10.143,0.1147
08/06/2023 05:55:17.923,0.1251
08/06/2023 05:55:27.050,0.1199
08/06/2023 05:55:37.215,0.1095
08/06/2023 05:55:38.226,0.1147
08/06/2023 05:55:52.368,0.1199
08/06/2023 05:55:53.379,0.1147
08/06/2023 05:56:04.541,0.1095
08/06/2023 05:56:05.563,0.1095
08/06/2023 05:56:54.210,0.1199
08/06/2023 05:56:57.239,0.1147
08/06/2023 05:57:08.398,0.1095
08/06/2023 05:57:09.427,0.1095
08/06/2023 05:57:30.734,0.1199
08/06/2023 05:57:31.744,0.1147
08/06/2023 05:57:51.014,0.1095
08/06/2023 05:57:52.036,0.1147
08/06/2023 05:58:06.277,0.1199
08/06/2023 05:58:07.293,0.1147
08/06/2023 05:58:18.460,0.1043
08/06/2023 05:58:21.508,0.1095
08/06/2023 05:58:31.656,0.1147
08/06/2023 05:58:32.677,0.1095
08/06/2023 05:58:42.803,0.1043
08/06/2023 05:58:47.851,0.1095
08/06/2023 05:58:59.008,0.1147
08/06/2023 05:59:00.019,0.1147
08/06/2023 06:00:57.638,0.1043
08/06/2023 06:00:58.652,0.1095
08/06/2023 06:01:08.831,0.1147
08/06/2023 06:01:09.850,0.1147
08/06/2023 06:01:35.210,0.1043
08/06/2023 06:01:39.248,0.1095
08/06/2023 06:01:50.381,0.1147
08/06/2023 06:01:51.390,0.1147
08/06/2023 06:03:38.718,0.1043
08/06/2023 06:03:39.735,0.1095
08/06/2023 06:03:49.890,0.1147
08/06/2023 06:03:50.900,0.1095
08/06/2023 06:05:44.399,0.1043
08/06/2023 06:05:48.437,0.1043
08/06/2023 06:05:58.553,0.1147
08/06/2023 06:05:59.567,0.1147
08/06/2023 06:07:21.920,0.1043
08/06/2023 06:07:22.943,0.1095
08/06/2023 06:07:33.109,0.1147
08/06/2023 06:07:34.132,0.1095
08/06/2023 06:08:37.197,0.1043
08/06/2023 06:08:38.209,0.1043
08/06/2023 06:08:49.387,0.1147
08/06/2023 06:08:50.411,0.1147
08/06/2023 06:11:58.597,0.1043
08/06/2023 06:12:02.649,0.1095
08/06/2023 06:12:12.822,0.1147
08/06/2023 06:12:13.841,0.1095
08/06/2023 06:14:38.193,0.1043
08/06/2023 06:14:39.216,0.1095
08/06/2023 06:14:51.423,0.1147
08/06/2023 06:14:52.434,0.1147
08/06/2023 06:16:02.659,0.1043
08/06/2023 06:16:06.738,0.1095
08/06/2023 06:16:16.919,0.1199
08/06/2023 06:16:19.970,0.1147
08/06/2023 06:16:34.186,0.1095
08/06/2023 06:16:35.209,0.1095
08/06/2023 06:16:56.565,0.1199
08/06/2023 06:16:57.586,0.1199
08/06/2023 06:17:08.773,0.1095
08/06/2023 06:17:09.786,0.1095
08/06/2023 06:17:19.957,0.1199
08/06/2023 06:17:20.981,0.1147
08/06/2023 06:17:32.165,0.1095
08/06/2023 06:17:33.177,0.1147
08/06/2023 06:17:53.536,0.1199
08/06/2023 06:17:54.554,0.1147
08/06/2023 06:18:12.859,0.1095
08/06/2023 06:18:13.883,0.1095
08/06/2023 06:18:36.236,0.1199
08/06/2023 06:18:37.259,0.1147
08/06/2023 06:18:51.495,0.1095
08/06/2023 06:18:52.525,0.1095
08/06/2023 06:19:43.456,0.1199
08/06/2023 06:19:46.508,0.1147
08/06/2023 06:19:59.741,0.1095
08/06/2023 06:20:00.766,0.1147
08/06/2023 06:20:10.907,0.1199
08/06/2023 06:20:12.940,0.1147
08/06/2023 06:20:31.172,0.1095
08/06/2023 06:20:32.195,0.1095
08/06/2023 06:20:49.438,0.1199
08/06/2023 06:20:52.482,0.1147
08/06/2023 06:21:03.669,0.1095
08/06/2023 06:21:04.694,0.1095
08/06/2023 06:21:24.048,0.1199
08/06/2023 06:21:25.058,0.1199
08/06/2023 06:21:36.268,0.1095
08/06/2023 06:21:37.297,0.1095
08/06/2023 06:21:59.664,0.1199
08/06/2023 06:22:02.721,0.1147
08/06/2023 06:22:12.904,0.1095
08/06/2023 06:22:13.913,0.1043
08/06/2023 06:22:49.530,0.1199
08/06/2023 06:22:51.562,0.1147
08/06/2023 06:23:01.755,0.1095
08/06/2023 06:23:02.779,0.1095
08/06/2023 06:23:42.386,0.1199
08/06/2023 06:23:43.396,0.1147
08/06/2023 06:23:56.612,0.1095
08/06/2023 06:23:57.628,0.1147
08/06/2023 06:24:32.191,0.1199
08/06/2023 06:24:33.203,0.1199
08/06/2023 06:24:45.450,0.1095
08/06/2023 06:24:46.473,0.1147
08/06/2023 06:25:15.943,0.1199
08/06/2023 06:25:16.965,0.1147
08/06/2023 06:25:30.181,0.1095
08/06/2023 06:25:31.202,0.1095
08/06/2023 06:25:49.534,0.1199
08/06/2023 06:25:50.552,0.1147
08/06/2023 06:26:05.865,0.1095
08/06/2023 06:26:06.908,0.1147
08/06/2023 06:26:26.303,0.1199
08/06/2023 06:26:27.322,0.1147
08/06/2023 06:26:42.512,0.1095
08/06/2023 06:26:43.537,0.1095
08/06/2023 06:27:02.903,0.1199
08/06/2023 06:27:03.928,0.1199
08/06/2023 06:27:14.130,0.1095
08/06/2023 06:27:15.154,0.1147
08/06/2023 06:27:32.469,0.1199
08/06/2023 06:27:34.521,0.1147
08/06/2023 06:27:47.714,0.1095
08/06/2023 06:27:48.735,0.1147
08/06/2023 06:28:01.912,0.1199
08/06/2023 06:28:02.937,0.1147
08/06/2023 06:28:14.111,0.1095
08/06/2023 06:28:15.121,0.1095
08/06/2023 06:28:25.286,0.1199
08/06/2023 06:28:27.324,0.1147
08/06/2023 06:28:40.536,0.1095
08/06/2023 06:28:41.553,0.1147
08/06/2023 06:29:05.986,0.1199
08/06/2023 06:29:06.999,0.1199
08/06/2023 06:29:18.200,0.1095
08/06/2023 06:29:19.209,0.1095
08/06/2023 06:29:51.698,0.1199
08/06/2023 06:29:52.709,0.1147
08/06/2023 06:30:03.888,0.1095
08/06/2023 06:30:04.897,0.1147
08/06/2023 06:30:24.220,0.1199
08/06/2023 06:30:25.228,0.1147
08/06/2023 06:30:37.434,0.1095
08/06/2023 06:30:38.455,0.1147
08/06/2023 06:30:51.664,0.1199
08/06/2023 06:30:53.698,0.1147
08/06/2023 06:31:03.898,0.1095
08/06/2023 06:31:04.936,0.1147
08/06/2023 06:31:27.286,0.1199
08/06/2023 06:31:28.295,0.1147
08/06/2023 06:31:43.563,0.1095
08/06/2023 06:31:44.584,0.1095
08/06/2023 06:31:55.761,0.1199
08/06/2023 06:31:56.783,0.1199
08/06/2023 06:32:11.043,0.1043
08/06/2023 06:32:16.134,0.1095
08/06/2023 06:32:26.345,0.1147
08/06/2023 06:32:28.395,0.1147
08/06/2023 06:33:52.741,0.1043
08/06/2023 06:33:58.838,0.1095
08/06/2023 06:34:09.031,0.1147
08/06/2023 06:34:10.053,0.1095
08/06/2023 06:34:24.261,0.1043
08/06/2023 06:34:25.274,0.1095
08/06/2023 06:34:36.463,0.1147
08/06/2023 06:34:37.478,0.1147
08/06/2023 06:35:11.994,0.1043
08/06/2023 06:35:15.029,0.1095
08/06/2023 06:35:26.235,0.1147
08/06/2023 06:35:27.254,0.1199
08/06/2023 06:35:50.592,0.1043
08/06/2023 06:35:51.614,0.1043
08/06/2023 06:36:01.779,0.1147
08/06/2023 06:36:02.791,0.1095
08/06/2023 06:36:47.508,0.1043
08/06/2023 06:36:49.560,0.1095
08/06/2023 06:37:00.758,0.1147
08/06/2023 06:37:01.780,0.1147
08/06/2023 06:37:44.541,0.1043
08/06/2023 06:37:45.553,0.1043
08/06/2023 06:37:55.703,0.1147
08/06/2023 06:37:56.725,0.1147
08/06/2023 06:39:46.434,0.1043
08/06/2023 06:39:50.485,0.1095
08/06/2023 06:40:00.645,0.1147
08/06/2023 06:40:01.655,0.1095
08/06/2023 06:42:26.018,0.1043
08/06/2023 06:42:27.041,0.1095
08/06/2023 06:42:37.241,0.1147
08/06/2023 06:42:38.267,0.1147
08/06/2023 06:42:48.427,0.1043
08/06/2023 06:42:49.439,0.1095
08/06/2023 06:42:59.572,0.1147
08/06/2023 06:43:00.592,0.1199
08/06/2023 06:46:40.059,0.1043
