'EPIC GC IG.PG.MV Log File

'Date,GC IG.PG.MV
08/06/2023 14:50:24.473,7.53E-06
08/06/2023 14:50:25.482,7.53E-06
08/06/2023 14:50:27.485,7.53E-06
08/06/2023 14:50:28.487,7.53E-06
08/06/2023 14:50:29.488,7.72E-06
08/06/2023 14:50:31.491,7.53E-06
08/06/2023 14:50:32.513,7.53E-06
08/06/2023 14:50:33.515,7.72E-06
08/06/2023 14:50:34.524,7.35E-06
08/06/2023 14:50:35.548,7.35E-06
08/06/2023 14:50:36.552,7.53E-06
08/06/2023 14:50:37.578,7.53E-06
08/06/2023 14:50:38.596,7.35E-06
08/06/2023 14:50:39.620,7.35E-06
08/06/2023 14:50:40.644,7.35E-06
08/06/2023 14:50:41.653,7.35E-06
08/06/2023 14:50:43.668,7.35E-06
08/06/2023 14:50:44.671,7.35E-06
08/06/2023 14:50:45.673,7.35E-06
08/06/2023 14:50:46.684,7.53E-06
08/06/2023 14:50:48.686,7.18E-06
08/06/2023 14:50:49.689,7.53E-06
08/06/2023 14:50:51.702,7.35E-06
08/06/2023 14:50:52.715,7.18E-06
08/06/2023 14:50:53.727,7.35E-06
08/06/2023 14:50:54.733,7.35E-06
08/06/2023 14:50:55.743,7.35E-06
08/06/2023 14:50:56.763,7.18E-06
08/06/2023 14:50:57.777,7.18E-06
08/06/2023 14:50:58.802,7.35E-06
08/06/2023 14:50:59.813,7.18E-06
08/06/2023 14:51:00.824,7.18E-06
08/06/2023 14:51:01.834,7.18E-06
08/06/2023 14:51:02.837,7.35E-06
08/06/2023 14:51:03.857,7.18E-06
08/06/2023 14:51:04.860,7.18E-06
08/06/2023 14:51:05.863,7.18E-06
08/06/2023 14:51:06.874,7.35E-06
08/06/2023 14:51:07.889,7.53E-06
08/06/2023 14:51:08.898,7.18E-06
08/06/2023 14:51:09.908,7.35E-06
08/06/2023 14:51:10.925,7.18E-06
08/06/2023 14:51:11.932,7.18E-06
08/06/2023 14:51:12.937,7.18E-06
08/06/2023 14:51:13.956,7.18E-06
08/06/2023 14:51:14.970,7.35E-06
08/06/2023 14:51:15.984,7.18E-06
08/06/2023 14:51:16.992,7.18E-06
08/06/2023 14:51:18.009,7.01E-06
08/06/2023 14:51:19.036,7.01E-06
08/06/2023 14:51:20.049,7.01E-06
08/06/2023 14:51:21.056,7.01E-06
08/06/2023 14:51:22.062,7.18E-06
08/06/2023 14:51:24.063,7.01E-06
08/06/2023 14:51:25.079,7.01E-06
08/06/2023 14:51:26.089,7.01E-06
08/06/2023 14:51:27.108,7.18E-06
08/06/2023 14:51:28.110,6.84E-06
08/06/2023 14:51:29.112,6.84E-06
08/06/2023 14:51:30.123,6.84E-06
08/06/2023 14:51:31.124,6.84E-06
08/06/2023 14:51:32.126,6.84E-06
08/06/2023 14:51:33.142,6.84E-06
08/06/2023 14:51:34.157,6.84E-06
08/06/2023 14:51:35.176,6.84E-06
08/06/2023 14:51:36.211,6.68E-06
08/06/2023 14:51:37.221,6.68E-06
08/06/2023 14:51:38.223,6.68E-06
08/06/2023 14:51:39.236,6.68E-06
08/06/2023 14:51:40.237,6.84E-06
08/06/2023 14:51:41.242,6.84E-06
08/06/2023 14:51:42.263,6.68E-06
08/06/2023 14:51:43.266,6.52E-06
08/06/2023 14:51:44.284,6.68E-06
08/06/2023 14:51:45.298,6.52E-06
08/06/2023 14:51:46.303,6.52E-06
08/06/2023 14:51:48.302,6.36E-06
08/06/2023 14:51:49.305,6.36E-06
08/06/2023 14:51:50.326,6.36E-06
08/06/2023 14:51:51.328,6.52E-06
08/06/2023 14:51:52.330,6.36E-06
08/06/2023 14:51:53.341,6.52E-06
