'EPIC MC.PID.wOP Log File

'Date,MC.PID.wOP
08/06/2023 00:04:12.978,4.300
08/06/2023 00:04:13.987,4.200
08/06/2023 00:04:14.996,4.200
08/06/2023 00:04:16.004,4.200
08/06/2023 00:04:17.013,4.200
08/06/2023 00:04:18.036,4.300
08/06/2023 00:04:19.045,4.300
08/06/2023 00:04:20.069,4.300
08/06/2023 00:04:21.083,4.200
08/06/2023 00:04:22.105,4.200
08/06/2023 00:04:23.122,4.200
08/06/2023 00:04:24.145,4.200
08/06/2023 00:04:25.179,4.200
08/06/2023 00:04:26.203,4.200
08/06/2023 00:04:27.226,4.200
08/06/2023 00:04:28.238,4.200
08/06/2023 00:04:29.260,4.300
08/06/2023 00:04:30.270,4.200
08/06/2023 00:04:31.281,4.200
08/06/2023 00:04:32.305,4.200
08/06/2023 00:04:33.315,4.200
08/06/2023 00:04:34.330,4.200
08/06/2023 00:04:35.344,4.200
08/06/2023 00:04:36.362,4.200
08/06/2023 00:04:37.379,4.200
08/06/2023 00:04:38.401,4.200
08/06/2023 00:04:39.413,4.200
08/06/2023 00:04:40.429,4.200
08/06/2023 00:04:41.453,4.200
08/06/2023 00:04:42.475,4.200
08/06/2023 00:04:43.496,4.200
08/06/2023 00:04:44.520,4.200
08/06/2023 00:04:45.529,4.200
08/06/2023 00:04:46.541,4.200
08/06/2023 00:04:47.570,4.200
08/06/2023 00:04:48.588,4.200
08/06/2023 00:04:49.601,4.200
08/06/2023 00:04:50.619,4.200
08/06/2023 00:04:51.637,4.200
08/06/2023 00:04:52.666,4.200
08/06/2023 00:04:53.677,4.200
08/06/2023 00:04:54.696,4.200
08/06/2023 00:04:55.706,4.200
08/06/2023 00:04:56.729,4.300
08/06/2023 00:04:57.751,4.200
08/06/2023 00:04:58.761,4.200
08/06/2023 00:04:59.776,4.200
08/06/2023 00:05:00.789,4.200
08/06/2023 00:05:01.814,4.200
08/06/2023 00:05:02.838,4.200
08/06/2023 00:05:03.860,4.200
08/06/2023 00:05:04.872,4.200
08/06/2023 00:05:05.884,4.200
08/06/2023 00:05:06.908,4.300
08/06/2023 00:05:07.920,4.200
08/06/2023 00:05:08.939,4.200
08/06/2023 00:05:09.962,4.200
08/06/2023 00:05:10.989,4.300
08/06/2023 00:05:12.011,4.200
08/06/2023 00:05:13.019,4.200
08/06/2023 00:05:14.029,4.200
08/06/2023 00:05:15.053,4.200
08/06/2023 00:05:16.078,4.200
08/06/2023 00:05:17.087,4.200
08/06/2023 00:05:18.111,4.200
08/06/2023 00:05:19.121,4.200
08/06/2023 00:05:20.140,4.200
08/06/2023 00:05:21.154,4.300
08/06/2023 00:05:22.169,4.200
08/06/2023 00:05:23.183,4.200
08/06/2023 00:05:24.200,4.200
08/06/2023 00:05:25.222,4.200
08/06/2023 00:05:26.247,4.200
08/06/2023 00:05:27.267,4.200
08/06/2023 00:05:28.280,4.200
08/06/2023 00:05:29.292,4.200
08/06/2023 00:05:30.303,4.200
08/06/2023 00:05:31.318,4.200
08/06/2023 00:05:32.332,4.200
08/06/2023 00:05:33.352,4.200
08/06/2023 00:05:34.387,4.200
08/06/2023 00:05:35.399,4.200
08/06/2023 00:05:36.414,4.200
08/06/2023 00:05:37.433,4.200
08/06/2023 00:05:38.446,4.200
08/06/2023 00:05:39.458,4.200
08/06/2023 00:05:40.467,4.200
08/06/2023 00:05:41.479,4.200
08/06/2023 00:05:42.520,4.200
08/06/2023 00:05:43.529,4.200
08/06/2023 00:05:44.554,4.200
08/06/2023 00:05:45.564,4.200
08/06/2023 00:05:46.590,4.200
08/06/2023 00:05:47.612,4.200
08/06/2023 00:05:48.622,4.200
08/06/2023 00:05:49.640,4.200
08/06/2023 00:05:50.651,4.200
08/06/2023 00:05:51.670,4.200
08/06/2023 00:05:52.679,4.200
08/06/2023 00:05:53.688,4.200
08/06/2023 00:05:54.699,4.200
08/06/2023 00:05:55.724,4.200
08/06/2023 00:05:56.751,4.200
08/06/2023 00:05:57.767,4.200
08/06/2023 00:05:58.776,4.200
08/06/2023 00:05:59.800,4.200
08/06/2023 00:06:00.815,4.200
08/06/2023 00:06:01.828,4.200
08/06/2023 00:06:02.836,4.200
08/06/2023 00:06:03.874,4.200
08/06/2023 00:06:04.898,4.200
08/06/2023 00:06:05.921,4.200
08/06/2023 00:06:06.946,4.200
08/06/2023 00:06:07.966,4.200
08/06/2023 00:06:08.981,4.200
08/06/2023 00:06:09.995,4.200
08/06/2023 00:06:11.020,4.200
08/06/2023 00:06:12.033,4.200
08/06/2023 00:06:13.055,4.200
08/06/2023 00:06:14.066,4.200
08/06/2023 00:06:15.084,4.200
08/06/2023 00:06:16.103,4.200
08/06/2023 00:06:17.114,4.200
08/06/2023 00:06:18.137,4.200
08/06/2023 00:06:19.157,4.200
08/06/2023 00:06:20.177,4.200
08/06/2023 00:06:21.189,4.200
08/06/2023 00:06:22.218,4.200
08/06/2023 00:06:23.229,4.200
08/06/2023 00:06:24.251,4.200
08/06/2023 00:06:25.279,4.200
08/06/2023 00:06:26.298,4.200
08/06/2023 00:06:27.309,4.200
08/06/2023 00:06:28.333,4.200
08/06/2023 00:06:29.361,4.200
08/06/2023 00:06:30.386,4.200
08/06/2023 00:06:31.410,4.200
08/06/2023 00:06:32.434,4.200
08/06/2023 00:06:33.454,4.200
08/06/2023 00:06:34.477,4.200
08/06/2023 00:06:35.488,4.200
08/06/2023 00:06:36.499,4.200
08/06/2023 00:06:37.513,4.200
08/06/2023 00:06:38.523,4.200
08/06/2023 00:06:39.534,4.200
08/06/2023 00:06:40.560,4.200
08/06/2023 00:06:41.580,4.200
08/06/2023 00:06:42.601,4.200
08/06/2023 00:06:43.614,4.200
08/06/2023 00:06:44.634,4.200
08/06/2023 00:06:45.643,4.200
08/06/2023 00:06:46.653,4.200
08/06/2023 00:06:47.669,4.200
08/06/2023 00:06:48.686,4.200
08/06/2023 00:06:49.695,4.200
08/06/2023 00:06:50.724,4.200
08/06/2023 00:06:51.745,4.200
08/06/2023 00:06:52.767,4.200
08/06/2023 00:06:53.778,4.200
08/06/2023 00:06:54.800,4.200
08/06/2023 00:06:55.816,4.200
08/06/2023 00:06:56.827,4.200
08/06/2023 00:06:57.838,4.200
08/06/2023 00:06:58.854,4.200
08/06/2023 00:06:59.863,4.200
08/06/2023 00:07:00.872,4.200
08/06/2023 00:07:01.888,4.200
08/06/2023 00:07:02.913,4.200
08/06/2023 00:07:03.937,4.200
08/06/2023 00:07:04.949,4.200
08/06/2023 00:07:05.961,4.200
08/06/2023 00:07:06.982,4.200
08/06/2023 00:07:07.991,4.200
08/06/2023 00:07:09.014,4.200
08/06/2023 00:07:10.026,4.200
08/06/2023 00:07:11.035,4.200
08/06/2023 00:07:12.046,4.200
08/06/2023 00:07:13.065,4.200
08/06/2023 00:07:14.097,4.200
08/06/2023 00:07:15.117,4.200
08/06/2023 00:07:16.147,4.200
08/06/2023 00:07:17.166,4.200
08/06/2023 00:07:18.180,4.200
08/06/2023 00:07:19.205,4.200
08/06/2023 00:07:20.227,4.200
08/06/2023 00:07:21.257,4.200
08/06/2023 00:07:22.275,4.200
08/06/2023 00:07:23.299,4.200
08/06/2023 00:07:24.323,4.200
08/06/2023 00:07:25.340,4.200
08/06/2023 00:07:26.360,4.200
08/06/2023 00:07:27.370,4.200
08/06/2023 00:07:28.378,4.200
08/06/2023 00:07:29.402,4.200
08/06/2023 00:07:30.411,4.200
08/06/2023 00:07:31.422,4.200
08/06/2023 00:07:32.441,4.200
08/06/2023 00:07:33.462,4.200
08/06/2023 00:07:34.471,4.200
08/06/2023 00:07:35.482,4.200
08/06/2023 00:07:36.491,4.200
08/06/2023 00:07:37.515,4.200
08/06/2023 00:07:38.536,4.200
08/06/2023 00:07:39.559,4.200
08/06/2023 00:07:40.572,4.200
08/06/2023 00:07:41.585,4.200
08/06/2023 00:07:42.609,4.200
08/06/2023 00:07:43.623,4.200
08/06/2023 00:07:44.647,4.200
08/06/2023 00:07:45.672,4.200
08/06/2023 00:07:46.683,4.200
08/06/2023 00:07:47.718,4.200
08/06/2023 00:07:48.729,4.200
08/06/2023 00:07:49.739,4.200
