'EPIC Sub.PG.V Log File

'Date,Sub.PG.V
08/06/2023 23:11:48.151,7.248
08/06/2023 23:11:50.151,7.241
08/06/2023 23:11:51.173,7.269
08/06/2023 23:11:52.193,7.259
08/06/2023 23:11:53.211,7.262
08/06/2023 23:11:55.210,7.257
08/06/2023 23:11:57.212,7.259
08/06/2023 23:11:58.231,7.286
08/06/2023 23:11:59.233,7.270
08/06/2023 23:12:00.251,7.270
08/06/2023 23:12:02.250,7.251
08/06/2023 23:12:03.251,7.289
08/06/2023 23:12:04.271,7.271
08/06/2023 23:12:06.270,7.237
08/06/2023 23:12:08.272,7.265
08/06/2023 23:12:10.274,7.268
08/06/2023 23:12:11.290,7.257
08/06/2023 23:12:13.294,7.242
08/06/2023 23:12:14.312,7.249
08/06/2023 23:12:15.331,7.269
08/06/2023 23:12:17.331,7.242
08/06/2023 23:12:19.331,7.255
08/06/2023 23:12:21.333,7.281
08/06/2023 23:12:22.352,7.261
08/06/2023 23:12:24.351,7.273
08/06/2023 23:12:26.352,7.258
08/06/2023 23:12:28.351,7.274
08/06/2023 23:12:30.351,7.239
08/06/2023 23:12:32.352,7.242
08/06/2023 23:12:34.350,7.264
08/06/2023 23:12:35.352,7.257
08/06/2023 23:12:37.351,7.253
08/06/2023 23:12:38.375,7.283
08/06/2023 23:12:39.392,7.269
08/06/2023 23:12:41.392,7.265
08/06/2023 23:12:43.392,7.278
08/06/2023 23:12:44.410,7.249
08/06/2023 23:12:46.410,7.223
08/06/2023 23:12:48.413,7.309
08/06/2023 23:12:49.430,7.300
08/06/2023 23:12:50.439,7.283
08/06/2023 23:12:51.451,7.258
08/06/2023 23:12:52.453,7.234
08/06/2023 23:12:53.470,7.273
08/06/2023 23:12:54.471,7.271
08/06/2023 23:12:56.470,7.259
08/06/2023 23:12:58.471,7.270
08/06/2023 23:13:00.472,7.249
08/06/2023 23:13:01.496,7.270
08/06/2023 23:13:02.511,7.252
08/06/2023 23:13:04.511,7.254
08/06/2023 23:13:06.510,7.247
